ihme_loc_id,ADM0_NAME,ADM0_CODE,ADM1_NAME,ADM1_CODE,who_pab
ZAF_487,,NA,Mpumalanga,6254,
IDN_4741,,NA,Papua Barat,22103,
MEX_4657,,NA,México,15143,
IDN_4738,,NA,Sulawesi Barat,25103,
IND_4865,,NA,Odisha,26105,
KEN_44796,,NA,Nairobi,30118,
KEN_35646,,NA,Nairobi,30118,
KEN_35647,,NA,Nakuru,31118,
KEN_35648,,NA,Nandi,32118,
KEN_35649,,NA,Narok,33118,
MEX_4660,,NA,Nayarit,18143,
IDN_4735,,NA,Sulawesi Selatan,26103,
IDN_4734,,NA,Sulawesi Tengah,27103,
IRN_44879,,NA,North Khorasan,21108,
IDN_4736,,NA,Sulawesi Tenggara,28103,
ZAF_489,,NA,Northern Cape,8254,
MEX_4661,,NA,Nuevo León,19143,
IDN_4733,,NA,Sulawesi Utara,29103,
IDN_4711,,NA,Sumatera Barat,30103,
KEN_35650,,NA,Nyamira,34118,
KEN_35651,,NA,Nyandarua,35118,
KEN_35652,,NA,Nyeri,36118,
MEX_4662,,NA,Oaxaca,20143,
IND_4867,,NA,Punjab,28105,
ETH_44855,,NA,Oromia,8072,
IDN_4742,,NA,Papua,23103,
IDN_4714,,NA,Sumatera Selatan,31103,
BRA_4765,,NA,Paraná,16033,
BRA_4764,,NA,Paraíba,15033,
BRA_4763,,NA,Pará,14033,
BRA_4766,,NA,Pernambuco,17033,
IDN_4710,,NA,Sumatera Utara,32103,
MEX_4663,,NA,Puebla,21143,
IND_4868,,NA,Rajasthan,29105,
IRN_44888,,NA,Qazvin,22108,
CHN_513,,NA,Shandong,23044,
IRN_44889,,NA,Qom,23108,
MEX_4664,,NA,Querétaro,22143,
MEX_4665,,NA,Quintana Roo,23143,
IND_4869,,NA,Sikkim,30105,
IRN_44869,,NA,Chahar Mahall and Bakhtiari,4108,
IDN_4712,,NA,Riau,24103,
BRA_4769,,NA,Rio Grande do Norte,20033,
BRA_4772,,NA,Rio Grande do Sul,21033,
BRA_4768,,NA,Rio de Janeiro,19033,
BRA_4770,,NA,Rondônia,22033,
BRA_4771,,NA,Roraima,23033,
KEN_35653,,NA,Samburu,37118,
MEX_4666,,NA,San Luis Potosí,24143,
BRA_4773,,NA,Santa Catarina,24033,
IRN_44890,,NA,Semnan,25108,
BRA_4774,,NA,Sergipe,26033,
CHN_514,,NA,Shanghai,24044,
CHN_515,,NA,Shanxi,25044,
CHN_516,,NA,Sichuan,26044,
CHN_517,,NA,Tianjin,27044,
KEN_35654,,NA,Siaya,38118,
CHN_519,,NA,Xinjiang Uygur,28044,
IND_4870,,NA,Tamil Nadu,31105,
MEX_4667,,NA,Sinaloa,25143,
IRN_44866,,NA,East Azarbaijan,5108,
ETH_44856,,NA,Somali,9072,
MEX_4668,,NA,Sonora,26143,
IRN_44881,,NA,South Khorasan,27108,
IRN_44876,,NA,Esfahan,6108,
IRN_44883,,NA,Kohgiluyeh and Buyer Ahmad,16108,
IRN_44884,,NA,Kordestan,17108,
IRN_44880,,NA,Razavi Khorasan,24108,
IRN_44891,,NA,Sistan and Baluchestan,26108,
IRN_44867,,NA,West Azarbaijan,29108,
KEN_35624,,NA,Homa Bay,8118,
KEN_35645,,NA,Murang'a,29118,
KEN_35655,,NA,Taita Taveta,39118,
BRA_4775,,NA,São Paulo,25033,
MEX_4669,,NA,Tabasco,27143,
KEN_35656,,NA,Tana River,40118,
MEX_4670,,NA,Tamaulipas,28143,
IND_4871,,NA,Telangana,32105,
KEN_35657,,NA,Tharaka-Nithi,41118,
KEN_35657,,NA,Tehran,28108,
IND_44538,,NA,The Six Minor Territories,1105,
KEN_35658,,NA,Trans Nzoia,42118,
KEN_35660,,NA,Uasin Gishu,44118,
CHN_518,,NA,Xizang,29044,
ETH_44852,,NA,Tigray,11072,
MEX_4671,,NA,Tlaxcala,29143,
BRA_4776,,NA,Tocantins,27033,
KEN_35663,,NA,West Pokot,47118,
IND_4872,,NA,Tripura,33105,
KEN_35659,,NA,Turkana,43118,
MEX_4658,,NA,Michoacán,16143,
IND_4873,,NA,Uttar Pradesh,34105,
IND_4874,,NA,Uttarakhand,35105,
MEX_4672,,NA,Veracruz,30143,
KEN_35661,,NA,Vihiga,45118,
KEN_35662,,NA,Wajir,46118,
COG,Republic of Congo,48,NA,NA,
IND_4875,,NA,West Bengal,36105,
STP,São Tomé and Príncipe,207,NA,NA,
ZAF_490,,NA,Western Cape,9254,
NGA_25332,,NA,Federal Capital Territory,15164,
NGA_25343,,NA,Nassarawa,26164,
IRN_44893,,NA,Yazd,30108,
IDN_4723,,NA,Yogyakarta,33103,
MEX_4673,,NA,Yucatán,31143,
CHN_520,,NA,Yunnan,30044,
MEX_4674,,NA,Zacatecas,32143,
IRN_44894,,NA,Zanjan,31108,
CHN_521,,NA,Zhejiang,31044,
NGA_25318,,NA,Abia,1164,
PHL_53604,,NA,Agusan del Norte,2177,
NGA_25319,,NA,Adamawa,2164,
PAK_53615,,NA,Azad Kashmir,1173,
PAK_53616,,NA,Baluchistan,2173,
PHL_53605,,NA,Agusan del Sur,3177,
NGA_25320,,NA,Akwa Ibom,3164,
PHL_53572,,NA,Aklan,4177,
NGA_25321,,NA,Anambra,4164,
PHL_53568,,NA,Albay,5177,
PHL_53573,,NA,Antique,6177,
PHL_53537,,NA,Apayao,7177,
PAK_53618,,NA,F.C.T.,4173,
PHL_53554,,NA,Aurora,8177,
PHL_53610,,NA,Basilan,9177,
PHL_53548,,NA,Bataan,10177,
PHL_53547,,NA,Batanes,11177,
NGA_25322,,NA,Bauchi,5164,
NGA_25323,,NA,Bayelsa,6164,
PHL_53558,,NA,Batangas,12177,
NGA_25324,,NA,Benue,7164,
PHL_53535,,NA,Benguet,13177,
PHL_53586,,NA,Biliran,14177,
NGA_25325,,NA,Borno,8164,
PHL_53579,,NA,Bohol,15177,
PHL_53591,,NA,Bukidnon,16177,
PHL_53552,,NA,Bulacan,17177,
PHL_53544,,NA,Cagayan,18177,
PHL_53566,,NA,Camarines Norte,19177,
PHL_53570,,NA,Camarines Sur,20177,
PHL_53594,,NA,Camiguin,21177,
PHL_53571,,NA,Capiz,22177,
PHL_53565,,NA,Catanduanes,23177,
PHL_53556,,NA,Cavite,24177,
PHL_53578,,NA,Cebu,25177,
NGA_25326,,NA,Cross River,9164,
PHL_53596,,NA,Compostela Valley,26177,
PAK_53619,,NA,N.W.F.P.,5173,
PAK_53617,,NA,Northern Areas,6173,
NGA_25327,,NA,Delta,10164,
PHL_53599,,NA,Davao del Norte,27177,
PHL_53597,,NA,Davao del Sur,28177,
NGA_25328,,NA,Ebonyi,11164,
NGA_25329,,NA,Edo,12164,
NGA_25330,,NA,Ekiti,13164,
NGA_25331,,NA,Enugu,14164,
PAK_53621,,NA,Sind,8173,
PHL_53595,,NA,Davao Oriental,29177,
PHL_53608,,NA,Dinagat Islands,30177,
NGA_25333,,NA,Gombe,16164,
PHL_53582,,NA,Eastern Samar,31177,
PHL_53576,,NA,Guimaras,32177,
PHL_53534,,NA,Ifugao,33177,
PHL_53540,,NA,Ilocos Norte,34177,
PHL_53541,,NA,Ilocos Sur,35177,
NGA_25334,,NA,Imo,17164,
PHL_53575,,NA,Iloilo,36177,
NGA_25335,,NA,Jigawa,18164,
NGA_25336,,NA,Kaduna,19164,
PHL_53545,,NA,Isabela,37177,
NGA_25337,,NA,Kano,20164,
NGA_25338,,NA,Katsina,21164,
NGA_25339,,NA,Kebbi,22164,
NGA_25340,,NA,Kogi,23164,
NGA_25341,,NA,Kwara,24164,
PHL_53538,,NA,Kalinga,38177,
NGA_25342,,NA,Lagos,25164,
PHL_53539,,NA,La Union,39177,
PHL_53557,,NA,Laguna,40177,
PHL_53592,,NA,Lanao del Norte,41177,
PHL_53613,,NA,Lanao del Sur,42177,
PHL_53585,,NA,Leyte,43177,
PHL_53612,,NA,Maguindanao,44177,
PHL_53564,,NA,Marinduque,45177,
PHL_53569,,NA,Masbate,46177,
PHL_53614,,NA,Metropolitan Manila,47177,
PHL_53590,,NA,Misamis Occidental,48177,
PHL_53593,,NA,Misamis Oriental,49177,
PHL_53533,,NA,Mountain Province,50177,
PHL,Philippines,177,NA,NA,
PHL_53574,,NA,Negros Occidental,51177,
PHL_53577,,NA,Negros Oriental,52177,
NGA_25344,,NA,Niger,27164,
PHL_53602,,NA,North Cotabato,53177,
PHL_53583,,NA,Northern Samar,54177,
PHL_53553,,NA,Nueva Ecija,55177,
PHL_53543,,NA,Nueva Vizcaya,56177,
PHL_53560,,NA,Occidental Mindoro,57177,
PHL_53561,,NA,Oriental Mindoro,58177,
NGA_25345,,NA,Ogun,28164,
NGA_25346,,NA,Ondo,29164,
PHL_53563,,NA,Palawan,59177,
NGA_25347,,NA,Osun,30164,
NGA_25348,,NA,Oyo,31164,
PHL_53551,,NA,Pampanga,60177,
PHL_53542,,NA,Pangasinan,61177,
PHL_53559,,NA,Quezon,62177,
NGA_25349,,NA,Plateau,32164,
PAK_53620,,NA,Punjab,7173,
PHL_53546,,NA,Quirino,63177,
PHL_53555,,NA,Rizal,64177,
NGA_25350,,NA,Rivers,33164,
PHL_53562,,NA,Romblon,65177,
PHL_53584,,NA,Samar,66177,
PHL_53603,,NA,Sarangani,67177,
PHL_53580,,NA,Siquijor,68177,
PHL_53567,,NA,Sorsogon,69177,
PHL_53600,,NA,South Cotabato,70177,
NGA_25351,,NA,Sokoto,34164,
PHL_53581,,NA,Southern Leyte,71177,
PHL_53601,,NA,Sultan Kudarat,72177,
PHL_53611,,NA,Sulu,73177,
PHL_53607,,NA,Surigao del Norte,74177,
PHL_53606,,NA,Surigao del Sur,75177,
PHL_53550,,NA,Tarlac,76177,
PHL_53609,,NA,Tawi-Tawi,77177,
NGA_25352,,NA,Taraba,35164,
PHL_53549,,NA,Zambales,78177,
PHL_53588,,NA,Zamboanga del Norte,79177,
NGA_25353,,NA,Yobe,36164,
PHL_53589,,NA,Zamboanga del Sur,80177,
PHL_53587,,NA,Zamboanga Sibugay,81177,
ZAF_488,,NA,North West,7254,
NGA_25354,,NA,Zamfara,37164,
